,ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,url
0,16184E93D9,서울특별시 성동구 마장동,성우**,,서울 성동구,축산물,마장동,20130320,,
1,4D039EA8B7,서울특별시 성동구 마장동,대보**,,서울 성동구,축산물,마장동,20131122,,
2,0074C4990A,서울특별시 성동구 마장동,대용**,,서울 성동구,축산물,마장동,20140512,,
3,68308F2746,서울특별시 성동구 마장동,통일**,,서울 성동구,축산물,마장동,20151124,,
4,4117EDDE9C,서울특별시 성동구 마장동,한울**,,서울 성동구,축산물,마장동,20151211,,
5,281CA527F1,서울특별시 성동구 마장동,대광**,,서울 성동구,축산물,마장동,20170222,,
6,9A71D71270,서울특별시 성동구 마장동,미림**,,서울 성동구,식품 제조,,20170817,,
7,761947ABD9,서울특별시 성동구 마장동,호남*,,서울 성동구,한식-육류/고기,마장동,20130531,,
8,145BA84596,서울특별시 성동구 사근동,고향***,,서울 성동구,한식-찌개/전골,한양대,20140618,,
9,27C88660A5,서울특별시 성동구 송정동,북*,,서울 성동구,중식당,,20141217,,
10,BAACCE3A2C,서울특별시 성동구 용답동,좋은**,,서울 성동구,식료품,장한평자동차,20130305,,
11,BE3EAEA415,서울특별시 성동구 용답동,별난**,,서울 성동구,한식-국수/만두,답십리,20140107,,
12,01AAD3CFFA,서울특별시 성동구 행당동,행당**,,서울 성동구,식료품,왕십리,20160513,,
13,C3E6D8B14F,서울특별시 성동구 행당동,이혜*******,,서울 성동구,인삼제품,행당,20131216,,
14,E606947836,서울특별시 성동구 홍익동,정*,,서울 성동구,중식당,왕십리,20150918,,
15,E863289A7D,서울특별시 성동구 홍익동,조은**,,서울 성동구,한식-단품요리일반,,20150116,,
16,B584924DB0,서울특별시 성동구 행당1동,왕십****,,서울 성동구,식품 제조,왕십리,20140828,,
17,2344622681,서울특별시 성동구 도선동,광한******,,서울 성동구,한식-해물/생선,왕십리,20110502,,
18,3E35A71757,서울특별시 성동구 마장동,멕시*****,치킨19,서울 성동구,치킨,,20050830,,
19,5017C6924A,서울특별시 성동구 마장동,도미********,피자2,서울 성동구,피자,,20100723,,
20,888828B4FB,서울특별시 성동구 마장동,현대**,,서울 성동구,식료품,,20070420,,
21,06C463E9D9,서울특별시 성동구 마장동,청계**,,서울 성동구,식료품,,20070704,,
22,5AEEA3B4EF,서울특별시 성동구 마장동,한양**,,서울 성동구,식료품,,20101008,,
23,1400634946,서울특별시 성동구 마장동,한일**,,서울 성동구,중식당,,20040728,,
24,3E61C339E2,서울특별시 성동구 마장동,세화**,,서울 성동구,축산물,,20020924,,
25,B81D338DB6,서울특별시 성동구 마장동,대성**,축산물2,서울 성동구,축산물,마장동,20030819,,
26,8941E2A3A0,서울특별시 성동구 마장동,광*,,서울 성동구,축산물,,20090304,,
27,D5CFCB32BA,서울특별시 성동구 마장동,희망**,,서울 성동구,축산물,,20110720,,
28,319880C87E,서울특별시 성동구 마장동,한일**,,서울 성동구,축산물,마장동,20120312,,
29,A6277E8E47,서울특별시 성동구 마장동,세계**,,서울 성동구,축산물,마장동,20120911,,
30,57AEEDF72B,서울특별시 성동구 마장동,파리**********,베이커리10,서울 성동구,베이커리,마장동,20110112,,
31,99730CC7C5,서울특별시 성동구 마장동,진*,,서울 성동구,요리주점,왕십리,20000420,,
32,1900B33A12,서울특별시 성동구 마장동,삼대**,한식-냉면1,서울 성동구,한식-냉면,,20081008,,
33,112C9E0C52,서울특별시 성동구 마장동,대구*,,서울 성동구,백반/가정식,마장동,20140211,,
34,87569153FF,서울특별시 성동구 마장동,원조***,,서울 성동구,한식-육류/고기,,20050201,,
35,AC6B3827B8,서울특별시 성동구 마장동,훈희***,,서울 성동구,한식-육류/고기,마장동,20090122,,
