ENCODED_MCT,date,content
002816BA73,2025-02-22,맛앗어요
002816BA73,2025-01-18,안주가 깔끔하고 맛있습니다^^!
002816BA73,2025-01-09,식사후~2차로 요기가 딱아야
002816BA73,2025-01-02,마른 안주 최강자!
002816BA73,2024-09-14,괜찮아요
002816BA73,2024-09-10,"간단하게 맥주한잔 하기에 딱 좋은 2차 감성의 가게에요 생맥주가 시원하고 맛있어서 종종갑니다.
이동네에서는 존재자체가 소중한 맥주집이에요"
002816BA73,2024-09-07,굿
002816BA73,2024-07-12,맛있어요 !!
002816BA73,2024-06-12,다양한 안주가 있어요.
002816BA73,2024-05-29,친절해요
002816BA73,2024-05-09,간단하게 한 잔하기 좋습니다
002816BA73,2024-02-16,좋아요
002816BA73,2024-02-13,
002816BA73,2024-01-12,마장동 소고기 묵으러 갔다가 2차로 가기 너무 좋네요~~분위기도 좋구유!!
002816BA73,2023-12-18,좋아요
002816BA73,2023-12-07,"사장님 너무 친절하시고 매장도 넓고 단체모임 하기 좋습니다.
먹태도 바삭하고 소스도 너무 맛있어요~ 다른안주도 하나 같이 다 맛있어요~ 짱짱짱~~b
술이 술술 들어가네요~~"
002816BA73,2023-12-02,사장님이신지 직원이신지 모르겠는데 너무 불친절합니다 손님이 별로 없는데도 불친절하신 거 보면 이 가게가 왜 장사가 안 되는지 알 거 같네요
002816BA73,2023-12-01,좋아요
002816BA73,2023-11-21,좋아요
002816BA73,2023-09-07,굿
002816BA73,2023-05-14,친절하고~ㅇ맛있어요
002816BA73,2023-04-05,굿
002816BA73,2023-02-04,대화하기좋고 모임하기도좋아요
002816BA73,2023-01-17,맛나요
002816BA73,2023-01-04,편릿해요
