ENCODED_MCT,date,content
0B5B2332CF,2025-09-15,동생이 맛있게 먹었다고해서 갔는데.. 전보다는 별루라고 입맛이 바뀌였나봐요
0B5B2332CF,2025-08-09,추어탕 맛있어요^^
0B5B2332CF,2025-08-06,"신금호역 추어탕~^^/ 정갈하고 맛난 보양식 자주 먹는다~♡
이이건 포장해가는중.ㅎㅎ"
0B5B2332CF,2025-05-27,좋아요
0B5B2332CF,2025-04-02,곱게 갈은 추어탕에 시래기도 넉넉히주셔서 감사합니다! 2인분 포장해오믄 둘이서 식사하고 나서도 1인분 더 먹을수있어요^--^
0B5B2332CF,2024-11-15,추어탕 맛있어요
0B5B2332CF,2024-11-02,친절하고 맛나요
0B5B2332CF,2024-09-05,맛있어요 오후6시면 문닫아요
0B5B2332CF,2024-07-30,굿
0B5B2332CF,2024-07-25,맛있어요
0B5B2332CF,2024-06-26,"남원식은 뭔가 엄청 곱게 갈아서
고소하긴한데 뭔가.."
0B5B2332CF,2024-06-08,"엄마랑 아부지랑 식사.
한방삼계탕 18,000 추어탕 12,000"
0B5B2332CF,2024-05-11,음식이 맛있고 좋아요~~
0B5B2332CF,2024-04-08,좋아요
0B5B2332CF,2024-04-06,맛있어요
0B5B2332CF,2024-04-04,음식양이 적당하고 멋있으며 숭늉이 나오니 좋아요..
0B5B2332CF,2024-04-01,친절해요
0B5B2332CF,2024-03-07,맛있게 먹고 왔어요
0B5B2332CF,2024-02-23,추어탕 맛있어요
0B5B2332CF,2024-02-16,좋아요
0B5B2332CF,2024-02-14,깎두기가 맛있어요
0B5B2332CF,2024-02-01,좋아요
0B5B2332CF,2024-01-26,굿
0B5B2332CF,2024-01-19,좋아요
0B5B2332CF,2023-12-21,맛있게 잘 먹었네요
0B5B2332CF,2023-12-09,감사합니다
0B5B2332CF,2023-12-04,웨이팅 없이 바로 들어가서 먹었어요 맛있게 먹었네요~
0B5B2332CF,2023-11-21,맛난건강식 추어탕~ 삼계탕은 매번가면 없어서 아쉬워요.
0B5B2332CF,2023-10-10,국물이 찐해요~
0B5B2332CF,2023-09-25,굿굿굿
0B5B2332CF,2023-09-01,"몸이 좀 안좋으면 추어탕 찾는편인데
혼밥하기좋고 반찬도 맛있어요"
0B5B2332CF,2023-08-23,추어탕 맛집
0B5B2332CF,2023-08-22,좋아요
0B5B2332CF,2023-08-01,깔끔한 영양식사 최고에요^^/
0B5B2332CF,2023-07-21,동네 맛집 입니다
0B5B2332CF,2023-05-17,부모님 입맛없을때 모시고가는 추어탕가게입니당
0B5B2332CF,2023-04-29,😆😊😊😉😉🫠
0B5B2332CF,2023-04-06,추어탕국물도 진하니 맛있어요..반찬도 깔끔하게 잘나오고 맛있어요
0B5B2332CF,2023-02-21,1만원..추어탕 맛이 진해요~
0B5B2332CF,2023-02-01,"영양가 만점
맛있어요."
0B5B2332CF,2023-01-28,친절해요
0B5B2332CF,2023-01-28,굿
