ENCODED_MCT,date,content
0DA8A07267,2025-06-11,"선생님 친절하시고 너무 좋아요
여선생님인거 알았으면 고민안하고 바로갔을듯"
0DA8A07267,2025-05-23,친절하세요!
0DA8A07267,2025-03-20,친절하세요!
0DA8A07267,2025-03-19,친절하세요!
0DA8A07267,2025-02-05,친절하세요 :)
0DA8A07267,2024-12-24,친절하세요 :)
0DA8A07267,2024-11-13,친절하세요!
0DA8A07267,2024-10-22,친절하세요!
0DA8A07267,2024-09-13,친절하세요!
0DA8A07267,2024-08-19,친절하세요!
0DA8A07267,2024-08-01,친절해서 좋아요!!!!
0DA8A07267,2024-08-01,친절하세요!
0DA8A07267,2024-06-28,좋아요!
0DA8A07267,2024-06-04,친절하세요!
0DA8A07267,2024-05-16,친절하세요!
0DA8A07267,2024-04-06,직원분들도 친절하고 좋아요
0DA8A07267,2024-03-13,친절하세요!
0DA8A07267,2024-03-12,친절하세요
0DA8A07267,2024-03-02,굳
0DA8A07267,2024-03-02,굳
0DA8A07267,2024-02-14,친절하세요 :)
0DA8A07267,2024-02-02,좋아요
0DA8A07267,2024-01-30,의사선생님 너무 친절하시고 직원분도 짱 친절합니다 강추!
0DA8A07267,2024-01-05,친절하세요
0DA8A07267,2023-12-28,선생님과 직원분 진짜 친절해요~~~~
0DA8A07267,2023-12-22,친절하세요 :)
0DA8A07267,2023-12-05,친절해요
0DA8A07267,2023-11-17,친절하세요!
0DA8A07267,2023-10-30,좋아요
0DA8A07267,2023-10-20,친절하세요!
0DA8A07267,2023-09-15,좋아요~
0DA8A07267,2023-09-14,친절하세요~~^^
0DA8A07267,2023-09-08,친절하세요!
0DA8A07267,2023-08-23,친절해요
0DA8A07267,2023-08-19,좋아요 좋아요 좋아오
0DA8A07267,2023-07-27,친절하세요!!
0DA8A07267,2023-07-19,친절하세요!
0DA8A07267,2023-07-06,친절합니다.
0DA8A07267,2023-07-05,친절해요
0DA8A07267,2023-06-27,친절해요
0DA8A07267,2023-06-27,좋아요
0DA8A07267,2023-06-22,좋아요
0DA8A07267,2023-06-12,친절하세요 :)
0DA8A07267,2023-05-04,친절하세요 여성산부인과
0DA8A07267,2023-04-07,친절하세요!
0DA8A07267,2023-04-05,굿
0DA8A07267,2023-04-04,"친절하고
믿음이가요"
0DA8A07267,2023-03-17,좋아요
0DA8A07267,2023-03-08,선생님이 친절하시고 설명도 잘해주세요
0DA8A07267,2023-03-08,선생님이 친절이 상세하게 설명해주시고 치료을 잘해주셔서 ㄴㅣ무좋아요.
0DA8A07267,2023-03-02,자세히 설명해주셔서 너무좋았어요.
0DA8A07267,2023-02-23,친절하게 증상설명을 잘해주시고 맘이 편하게 해주세요
0DA8A07267,2023-02-23,설명도 친절하고 세심해서 너무좋았어요.
0DA8A07267,2023-02-21,여의사선생님 친절하시고 자상하세요
0DA8A07267,2023-02-13,좋아요
0DA8A07267,2023-02-03,"여의사님 친절하세요
정기검진은여기서해요"
0DA8A07267,2023-01-09,시골 병원같아서 마음이 편해요
