ENCODED_MCT,date,content
105CC28499,2025-08-27,줜맛...
105CC28499,2025-07-03,
105CC28499,2025-03-14,굿
105CC28499,2025-01-21,굿
105CC28499,2024-09-04,굿
105CC28499,2024-07-04,굿
105CC28499,2024-04-24,친절하고맛나요.
105CC28499,2024-02-13,"집밥같아요.밥도 더먹음 퍼주시더라구요. 어머님 음식이 넘맛났어요. 생선구이등 점심에 손님들이 많아서~^^♡

인기만점인곳이예요."
105CC28499,2024-01-31,"넘맛나서 먹느라 사진이 없네요.
친절하고 정말맛나요.
다시가고싶은맛이예요."
105CC28499,2023-11-07,넘맛나요~^^♡
105CC28499,2023-09-07,친절해요
105CC28499,2023-06-07,로컬의 추천
105CC28499,2023-05-29,친절해요
105CC28499,2023-05-29,친절
105CC28499,2023-04-20,굿
105CC28499,2023-04-04,ㄱ
105CC28499,2023-03-30,"최고최고예요.
정겹고 음식 모두 맛있고 사장님친절하시고
오징어전도 맛있고 청국장 생선구이 닭볶음탕 쭈꾸미당면 캬~~~~술이술술들어갑니당"
105CC28499,2023-02-15,ㄱ
105CC28499,2023-02-07,고등어조림 시켜서 먹었는데 소주한잔 생각나는 맛이었음!! 다른 메뉴도 맛있을거 같음.
105CC28499,2023-02-06,ㄱ
105CC28499,2023-01-28,가성비 좋습니다.
