ENCODED_MCT,date,content
17FF425166,2025-09-30,청량+시원한 김치 미쳤구요 제 남자친구 홍어 여기서 처음먹고 홍어 애맛까지 알아버려서 삼합먹으러 여기만 옵니다.. 담백 고소한 추어탕도 별미에요 술찌리도 소주 3병 마시고나오는집
17FF425166,2024-10-27,홍어찜이 먹고싶어서 다녀옴
17FF425166,2024-06-15,추어탕 맛집 너무 좋아요💓 또 가고 싶어요 편안하고 맛있어요
17FF425166,2024-06-05,제대로 된 홍어집.. 진짜 오랜만에 홍어탕도 먹어봄
17FF425166,2024-05-07,친절해요
17FF425166,2024-03-01,홍어 맛있는 집!!
17FF425166,2023-08-30,국내산잘 숙성된 홍어 제대로 맛집이네요!!!
17FF425166,2023-08-17,"사장님 너무 친절하시구 홍어 애 부터 회 삼합
정말 너무 맛있습니다! 홍어 좋아하시면 한번 가보시는거 추천 드려요!"
17FF425166,2023-04-19,맛있게 잘 먹었네요
17FF425166,2023-03-25,좋아요
17FF425166,2023-02-23,"맛있어요


"
