ENCODED_MCT,date,content
3AE0B97C20,2025-04-30,고기맛이 좋습니다. 같이 나오는 밑반찬과 소고기무국도 수준급입니다.
3AE0B97C20,2025-02-04,좋아요.
3AE0B97C20,2025-01-24,좋아요
3AE0B97C20,2024-11-22,후추만 안 뿌려 나오면 완벽일듯합니다
3AE0B97C20,2024-06-07,좋아요
3AE0B97C20,2024-05-08,고기 맛있어요! 한우는 역시 맛있네요. 소고기무우국이 또 깔끔한 마무리를 장식해주네요.
3AE0B97C20,2024-04-18,"고기가 아주 신선해요
곁들이 반찬들도 맛있네요
"
3AE0B97C20,2024-02-20,"고기가 너무 맛있어요~~
사장님도 너무 친절하세요!
소고기 먹고싶을때마다 방문할 것 같아요♥"
3AE0B97C20,2024-02-12,특수부위같은 고기가 있어서 매우 좋네요. 맛있어요~~ 굿굿입니다.
3AE0B97C20,2023-12-27,
3AE0B97C20,2023-10-17,소고기가 생각날 땐 마장동보다 여기가 더 괜찮은 듯
3AE0B97C20,2023-09-13,좋아요~~ 굿~~
3AE0B97C20,2023-06-09,소고기 진짜 맛있어요
3AE0B97C20,2023-05-10,"고기가 신선하다 생채 열무김치 맛 있어요
마지막에 나오는 뚝배기국물 정말 맛있고 사장님도 완전 친절하시고 서비스 많이 주세요
자주 가는 맛집입니다"
3AE0B97C20,2023-05-04,굿굿
3AE0B97C20,2023-04-28,"#소담 #하누사랑 #689
서비스 소고기무국 👍👍👍"
3AE0B97C20,2023-04-24,
3AE0B97C20,2023-04-12,특별한날 특별한사람과 방문 강추~~
3AE0B97C20,2023-03-28,조아요
3AE0B97C20,2023-03-22,사장님 엄청 친절하세요
3AE0B97C20,2023-02-24,쇠고기의 참맛을 느끼려면
