ENCODED_MCT,date,content
48BCC595D9,2024-04-13,굿
48BCC595D9,2024-03-16,!
48BCC595D9,2024-02-07,감사합니다 감사합니다
48BCC595D9,2023-12-11,사장님 너무 친절하세요~
48BCC595D9,2023-11-19,굿
48BCC595D9,2023-11-18,좋아요
48BCC595D9,2023-11-02,고기가 두툽하고 맛있어요
48BCC595D9,2023-10-26,굿
48BCC595D9,2023-08-28,굿
48BCC595D9,2023-07-14,굿
48BCC595D9,2023-05-13,굿
48BCC595D9,2023-05-01,굿
48BCC595D9,2023-04-09,온누리 상품권 받아주십니다
48BCC595D9,2023-04-06,구
48BCC595D9,2023-03-10,고기 신선하구 좋아여
48BCC595D9,2023-03-03,굿
48BCC595D9,2023-02-20,굿
48BCC595D9,2023-01-15,굿
48BCC595D9,2023-01-12,굿
48BCC595D9,2023-01-09,굿
