ENCODED_MCT,date,content
501AEDAE3D,2024-02-20,"음식 맛이 변했어요
김밥은 푸석거리고 엄청 짜고...
레시피대로 한다고는 하는데 그때 그때 변하네요 맛이..."
501AEDAE3D,2024-02-09,매번 주문
501AEDAE3D,2024-01-25,매번 배달해서 먹는~
501AEDAE3D,2023-12-23,음식 종류가 다양하고 맛있어요.
501AEDAE3D,2023-11-29,매번 배달해서 먹는~
501AEDAE3D,2023-11-23,
501AEDAE3D,2023-11-16,음식이 맛있어요
501AEDAE3D,2023-11-11,good
501AEDAE3D,2023-09-13,좋아요!
501AEDAE3D,2023-09-12,"맵찔이한테 약간 맵지만, 메뉴 구성 좋고 맛있습니다."
501AEDAE3D,2023-08-26,진짜 도시 나올때마다 사먹는데 넘나맛있어요
501AEDAE3D,2023-08-19,항상 주문배달해서먹는
501AEDAE3D,2023-08-07,굿
501AEDAE3D,2023-07-29,매번 주문
501AEDAE3D,2023-07-25,굿
501AEDAE3D,2023-07-14,
501AEDAE3D,2023-06-19,
501AEDAE3D,2023-06-11,좋아요. ...
501AEDAE3D,2023-06-02,좋아요
501AEDAE3D,2023-05-28,굿
501AEDAE3D,2023-05-28,배고플때 자주 먹어요
501AEDAE3D,2023-05-27,야채튀김우동
501AEDAE3D,2023-05-18,좋아요
501AEDAE3D,2023-05-12,매번 주문하는곳
501AEDAE3D,2023-03-24,간만에 먹었눈대 여전히 맛있어요
501AEDAE3D,2023-03-17,
501AEDAE3D,2023-03-12,배달이 빨라요
501AEDAE3D,2023-03-11,"쌀국수,분식은 스쿨푸드 자주 이용하고 있어요"
501AEDAE3D,2023-03-07,진짜 비싸긴 한데 맛이있어요~
501AEDAE3D,2023-02-18,좋아요
501AEDAE3D,2023-02-10,
501AEDAE3D,2023-02-09,맛나요
501AEDAE3D,2023-02-05,감사합니다. 맛있어요~
501AEDAE3D,2023-02-05,맛있어요
501AEDAE3D,2023-02-02,좋아요
501AEDAE3D,2023-01-15,
501AEDAE3D,2023-01-10,맛있어요^^
501AEDAE3D,2023-01-10,아이가 너무 좋아해요!
501AEDAE3D,2023-01-04,맛있어요
