ENCODED_MCT,date,content
51BEB72D68,2025-08-26,"음식맛잇구 깔끔해요.
가게에서 지킬게많아요. 안지키면 사장님이 꼭 뭐라고하십니다!다들잘지키세요"
51BEB72D68,2025-06-05,좋아요
51BEB72D68,2025-04-25,
51BEB72D68,2024-05-28,"여기 사장님 진짜 대박나셔야해요.
반찬하나하나 찐맛집 인정입니다."
51BEB72D68,2024-04-19,집밥 그리운날 엄마반찬 먹고옴
51BEB72D68,2024-01-11,사장님 반찬 진짜 맛있어요.
51BEB72D68,2024-01-02,
51BEB72D68,2023-11-28,맛있어요
51BEB72D68,2023-11-20,"가격이 착하고 항시 맛나요
마음껏 가져다 먹을수 있어 좋아요"
51BEB72D68,2023-11-10,
51BEB72D68,2023-09-25,점심 뷔페가 저렴하고 맛있어서 가끔 가는데 사장님이 몇명이냐 여기 앉아라 이거 가져가라 조금 참견이 많고 혼자만 얘기하는데도 너무 시끄럽고 부산스러워요. 친철한 느낌은 아니예요.
51BEB72D68,2023-09-01,둘이가서 뷔페식 넘좋아요
51BEB72D68,2023-08-10,짝꿍캉 둘이 가볍게 맛났어요.
51BEB72D68,2023-06-19,굿
