ENCODED_MCT,date,content
535999101E,2025-09-18,
535999101E,2025-09-08,
535999101E,2025-08-18,
535999101E,2025-07-28,음효가 빨리 나오는 편입니다
535999101E,2025-07-25,
535999101E,2025-07-13,"친절하시네요
자주올게요"
535999101E,2025-06-19,역시 가성비 귿귿!!
535999101E,2025-06-17,
535999101E,2025-06-15,좋아요
535999101E,2025-06-07,
535999101E,2025-04-15,"커피 맛이 좋아요
가성비도 좋구요
담에 또 먹을 듯해요"
535999101E,2025-04-07,굿
535999101E,2025-04-07,커피 맛있고 좋아요오!!
535999101E,2025-04-06,맘모쓰 코히
535999101E,2025-03-19,
535999101E,2025-03-16,커피가 밍밍 ..해요..
535999101E,2025-03-11,굿
535999101E,2025-03-01,
535999101E,2025-02-25,"예약하고 가서 바로 음료수 받아서 좋았어요

씨고 맛도 있고 좋아요"
535999101E,2025-02-05,좋아요
535999101E,2025-01-09,"메머드 커피 맛있다구 동생이 하도 그래서 먹어봄ㅎㅎ
다른 곳보다 양은 약간 적은데 맛있음👍
아메리카노 매우 고소"
535999101E,2025-01-08,ㅇ
535999101E,2024-12-19,굿
535999101E,2024-11-14,친절하고 깔끔한 매장이에요. 패스오더 되면 더좋겠어요
535999101E,2024-11-07,겨울신제품 너무 맛있어요!!!
535999101E,2024-10-31,친절하고 커피도 굿
535999101E,2024-10-11,근처에 커피집이 많지만 가성비 최고에 맛도 좋아용!
535999101E,2024-09-30,친절하고 맛있는 음료를 만들어주세요
535999101E,2024-09-24,라떼맛집🤩
535999101E,2024-09-24,병원 갔다가 아아 먹었는데 가격도 저렴하고 션해서 잘 먹었네요
535999101E,2024-09-18,좋아요
535999101E,2024-09-10,"최고!
빨라요"
535999101E,2024-09-09,패쓰오더 앱에 매장이 보여서 주문했어요! 커피 맛있어요 ㅎㅎ 그런데 앱으로 바로 결제 기능이 없어서 아쉬웠어요.
535999101E,2024-09-06,좋아요
535999101E,2024-09-06,학교가면서 커피 사기 좋음
535999101E,2024-09-02,굿
535999101E,2024-09-02,조어요
535999101E,2024-08-30,아아 맛있게 먹었어요
535999101E,2024-08-30,
535999101E,2024-08-05,조어요
535999101E,2024-07-31,원두도 맛있고 양도 많습니다👍
535999101E,2024-07-28,좋아요
535999101E,2024-07-25,좀 진하긴한데 아이스커피 부드럽고 맛있어요
535999101E,2024-07-15,조아요
535999101E,2024-06-19,굿 친절하셔요
535999101E,2024-06-09,가성비 좋고 커피 맛도 괜찮아요 :)
535999101E,2024-06-05,테이크아웃만 가능하고 토피넛라떼 아이스 맛있어요
535999101E,2024-06-04,굿
535999101E,2024-05-28,굳
535999101E,2024-05-23,굿
535999101E,2024-05-19,굿
535999101E,2024-05-16,친절하고 좋아요
535999101E,2024-05-08,맛있어오
535999101E,2024-05-02,"알바생이 멍청한건지 못된건지 모르겠는데 캐리어 담아달라는 요청을 계속 안들어줌. 예전 알바생은 이러지 않았는데 바뀐건가용.. 지금 7월달 말에 있는 일이고요 처음에 몇번은 정신없어서 빼먹었나보다 하고 넘겼는데 지금까지 이러는 걸 보니 참다참다가 5월달에 네이버로 주문한 기록이 있어서 남깁니다. 매번 앱으로 주문하는데 요청사항에 캐리어 준비해달라는 게 그렇게 어렵나용
생각해보면 출근시간 지난 오전에 매번 픽업하는 거라 항상 가면 쉬고 있던데 빼먹을 수가 있나 싶음.. 나도카페 알바 경험 많아서 사실 이해가 안됨"
535999101E,2024-05-02,늘 이용하는곳
535999101E,2024-05-01,커피 맛있어요
535999101E,2024-05-01,굿
535999101E,2024-04-30,맛있어요
535999101E,2024-04-30,"출근길 늘 먹는 커피입니다.
이른 아침부터 반갑게 맞아주셔서 하루를 기분 좋게 시작 할 수 있어요~감사합니다 ~"
535999101E,2024-04-22,굿
535999101E,2024-03-21,좋아요!
535999101E,2024-03-16,매머드 아메리카노 제일 좋아하는데 오늘은 탄맛이 많이 났어요🥲
535999101E,2024-03-10,가격대비 좋음 ^^
535999101E,2024-03-06,"제일 작은 사이즈 1,200원이라 가격은 싼데 한 입 쪽 하면 순삭입니도,, 구냥 큰 사이즈 사는 게 나을 듯 해용"
535999101E,2024-03-05,체고
535999101E,2024-03-05,한양대 바로 근처에 새로 생겼는데 양 많아서 수업듣기 전에 포장하기 떡이에용~~
535999101E,2024-03-04,굿
535999101E,2024-02-19,친절하십니다
535999101E,2024-02-14,커피가 맛있다.
535999101E,2024-02-13,굿
535999101E,2024-02-01,
535999101E,2024-01-30,s사이즈 원샷 아메리카노는 좀 싱거워요. 샷을 추가 하는게 좋을것 같아요.
