ENCODED_MCT,date,content
62968F5FF3,2025-08-31,맛있어요
62968F5FF3,2025-08-03,신선하고 맛있어요!
62968F5FF3,2025-03-04,냉삼 좋아요
62968F5FF3,2025-02-19,맛있어요
62968F5FF3,2024-10-19,
62968F5FF3,2024-08-27,좋아요
62968F5FF3,2024-06-22,여기 냉삼 맛있어요
62968F5FF3,2024-06-20,친절하게 잘 알려주시고 신선해요
62968F5FF3,2024-05-29,꼬기퀄리티좋아요
62968F5FF3,2024-05-12,ㅎ
62968F5FF3,2024-04-10,냉삼 냄새 안나고 맛있어요
62968F5FF3,2024-04-03,신선하고 친절하셔요
62968F5FF3,2024-03-09,냉삼 맛있어요^^
62968F5FF3,2024-03-06,신선하고 종류도 많고 친절하셔요. 고기를 잘 몰라서 이것저것 여쭤봤는데 친절하게 잘 알려주셔서 맛좋은 고기 샀어용
62968F5FF3,2024-02-11,신선하고 맛있어요
62968F5FF3,2024-01-27,친절하시고 냉삼도 맛있어요~
62968F5FF3,2024-01-12,소포장 돼어있어서 그때그때 필요한만큼 바로바로 먹을수 있어 좋아요. 떨어지지 않게 쟁여놓는 것중 하나입니다^^
62968F5FF3,2023-12-26,좋아요
62968F5FF3,2023-12-25,성수에 있는 두근두근정육점 소고기 국거리 300 그람 9600원
62968F5FF3,2023-12-19,"친절하고 좋아요
소포장 된 우삼겹 차돌박이 좋아요"
62968F5FF3,2023-12-12,
62968F5FF3,2023-12-06,우삼겹 맛있어요
62968F5FF3,2023-11-21,"깔끔하고 직접손질 하는것도 볼수있고, 냉삼이나 우삼겹은 소분되어 있어 냉동실에 보관했다가 갑자기 먹고싶을때 꺼내먹으면 최고!"
62968F5FF3,2023-11-15,좋아요
62968F5FF3,2023-11-04,
62968F5FF3,2023-09-01,맛있어요
62968F5FF3,2023-08-08,굿
62968F5FF3,2023-06-04,"사장님 친절하시고
제가 원하는부위만..추천해주시니좋네요"
62968F5FF3,2023-05-31,항상 고기가 신선해서 자주 애용해요
62968F5FF3,2023-05-06,국내삼겹살 가격이 엄청 올랐네요.가격은 비싸도 역시 삼겹살은 맛있네요.한우도2+? 맛있어요
62968F5FF3,2023-04-24,좋아요
62968F5FF3,2023-04-22,대패삼겹살 가성비 좋아요
62968F5FF3,2023-04-14,가성비좋아요
62968F5FF3,2023-04-11,친절해서 너무 좋아요
62968F5FF3,2023-02-10,1년 넘게 가는 정육점. 신선하고 맛있어요
62968F5FF3,2023-01-17,"우삼겹하고 냉동삼겹
양 많고 가성비 좋아요"
