ENCODED_MCT,date,content
63C63AF808,2025-09-12,
63C63AF808,2024-09-14,친절합니다
63C63AF808,2024-07-27,맛있어요
63C63AF808,2024-06-11,축구 경기보며 치킨 포장!! 갓 튀긴 치킨 먹으며 즐거운 시간 됐습니다
63C63AF808,2024-04-13,"여자들이 좋아할 맛
나쵸 뿌려먹으니 더 더 맛있어져요:)"
63C63AF808,2024-04-05,아이들 최애식품
63C63AF808,2024-02-17,좋아요
63C63AF808,2023-11-02,굿
63C63AF808,2023-10-13,ㅇ
63C63AF808,2023-10-06,편해요
63C63AF808,2023-09-28,굿
63C63AF808,2023-09-24,굿
63C63AF808,2023-09-24,Good!
63C63AF808,2023-09-03,치킨이 진짜 맛있어요~
63C63AF808,2023-09-03,굿
63C63AF808,2023-08-30,만족합니다
63C63AF808,2023-08-27,맛있어요…!
63C63AF808,2023-08-20,만족합니다
63C63AF808,2023-08-18,치킨 맛있고 좋습니다!
63C63AF808,2023-08-09,아이들이 좋아하는 치킨
63C63AF808,2023-07-21,친절하고 맛있어요~~~!
63C63AF808,2023-07-20,굿
63C63AF808,2023-07-04,
63C63AF808,2023-06-25,맵슐랭 맛있고 매워요
63C63AF808,2023-06-21,맛있어요
63C63AF808,2023-05-25,맛있어요
63C63AF808,2023-05-10,굿
63C63AF808,2023-04-14,~^^
63C63AF808,2023-03-31,맛있게 잘먹었어요 마늘치킨 맛나요
63C63AF808,2023-03-31,친절하고 맛있어요
63C63AF808,2023-03-09,좋아요
63C63AF808,2023-02-17,"맛도있고 포장 할인도 받고
맛있게 잘 먹었어요"
63C63AF808,2023-01-20,좋아요
