ENCODED_MCT,date,content
63C676EAE1,2025-04-17,뚝섬역 근처라 친구들과 약속 잡고 가볍게 먹기 아주 좋아요:) . 메뉴들이 술이랑 잘 어울려서 저녁 겸 간단한 술자리로 즐기기 좋더라고요. 식사 메뉴도 든든해서 끼니 해결하기에도 충분했어요. 가격도 부담스럽지 않아서 더 만족스러웠습니다. 다음에 또 방문하고 싶은 곳이에여😄😄
63C676EAE1,2025-04-17,일단 기본적으로 음식이 빨리 나옵니다! 사장님께서 친절히 잘 대해주시고 스몰토크도 잘하셔서 음식 나오는데 거부감이 없어요 :) 음식 맛은 당연히 보장하고 오삼불고기가 맛있으니 꼭 드셔보세요!!
63C676EAE1,2025-01-20,"수칼국수는 부담없이 건강한 맛의 음식점이예요. 칼국수에 들어간 조개가 엄청 크고 알차고 맛있는데 국물맛이 예술입니다. 칼국수랑 열무비빔밥 세트 먹으면 든든하고 기분이 좋아져요. 가성비도 가성비지만 건강한 집밥 먹는 기분이라 더 그렇습니다. 양도 많고, 맛있고, 최근엔 오삼불고기 메뉴가 새로나왔는데 오징어가 너무 통통하고 실하더라고요! 해산물이 신선해서 음식들이 더 맛있는 것 같습니다. 사장님도 친절하시고 아무튼 여기도 이 동네에서 넘 좋은 음식점이예요!"
63C676EAE1,2025-01-11,성수 가면 꼭 들리세요!!!!!!! 양 많아 맛있어 가성비 삼박자 다 갖춘 가게임미다 이모님도 되게 친절하시고 만원에 이 양 …. 찾아볼 수 없을 정도로 많아서 배부르게 잘 먹었숩니다 🫶🏻
63C676EAE1,2025-01-08,이모 친철하셔요!
63C676EAE1,2024-12-30,처음 다녀온 이후로 지금까지 근 몇 개월간 정말 자주 가서 칼국수를 먹고 왔습니다. 직장 생활의 점심시간을 책임져 주는 아주 든든한 곳이에요. 적당한 가격에 양은 많고 맛도 아주 맛있습니다. 바지락은 통통하고 육수는 시원하고 김치도 일품이에요. 이제 곧 퇴사라 더 자주 못 오는 게 아쉬워 리뷰 남깁니다. 그간 정말 맛있게 잘 먹었습니다.
63C676EAE1,2024-12-09,너무 맛있어요!
63C676EAE1,2024-09-27,"열무비빔밥, 칼국수 맛있어요~"
63C676EAE1,2024-07-25,여기는 비빔밥 존맛
63C676EAE1,2024-07-01,"사장님과 직원분들 모두 친절하시고욥,
음식도 다 맛있습니다~~ 양도 많고요~!!"
63C676EAE1,2024-06-24,"정말로! 핥아먹을 수밖에 없는 맛!!!!!!!!! 갸아아아아악!!!!!! 너무너무너무너무너무너무 맛있어요!!!!!!!!!!!!!!! 🤡🤡🤡
회사 이직해도 쫓아와서 먹고싶은 맛... 정말... 맛있다...😋
진짜 맛있어요 정말루... 최고.... 사대천왕이 수칼국수 지키고 있음 김치의 신, 육수의 신, 칼국수면의 신, 콩국물의 신 ㅇㅇ 🥳🥳🥳
"
63C676EAE1,2024-05-21,감기맨이라 오늘은 콩국수를 못먹고 바지락 칼국수를 먹었는데 역시나 여긴 맛없는게 없는 집 ㅇㅇㅇㅇ 최고!!!🤡👍 들어있는 조개친구들이 크고 실했어요 🤩😍🤩😍
63C676EAE1,2024-04-19,열무비빔밥 주문하면 칼국수도 나와요~~ 신선한 조개와 쑥향이 올라와서 넘 좋았어요~~ 밥과 면을 다 먹을 수 있어 1석2조~~~!
63C676EAE1,2024-04-17,괜찮았어요
63C676EAE1,2024-04-15,여기 바지락 국물이 너무 맛있어요!!
63C676EAE1,2024-03-07,"맛있게 잘먹고 갑니다
부추호박전 맛있어요"
63C676EAE1,2024-02-23,긋
63C676EAE1,2024-02-13,열무비빔밥과 칼국수 한번에 먹을 수 있는 집
63C676EAE1,2024-02-01,긋
63C676EAE1,2024-01-29,"엄첨 맛 있는것 아시죠?
참기름 넣고 고추장 넣고 열무 넣고 비비면
아~"
63C676EAE1,2024-01-22,추운날 칼국수 열무비빔밥세트로 같이먹을수있어서더 좋아요
63C676EAE1,2024-01-19,가성비 좋아요. 굴전 추천 !!
63C676EAE1,2023-12-13,사장님 친절하시고 맛은 좋고
63C676EAE1,2023-12-01,"신메뉴 칼볶음면~~
두루치기 같은 맛에 아주 맛있습니다 강추!"
63C676EAE1,2023-11-27,뚝섬 최고 점심 스팟이죠.
63C676EAE1,2023-11-20,맛있어요 미니 비빔밥도 완젼맛나요
63C676EAE1,2023-10-27,"열무김치와 김치도 맛있고, 열무비빔밥과 칼국수 반반 메뉴가 있어 골고루 맛볼 수 있어 좋아요~~"
63C676EAE1,2023-10-25,꼭 가셔서 열무비빔밥과 칼국수 반 나오는 패키지 비빔밥 먹어보세요. 후회 낫씽
63C676EAE1,2023-10-11,"단골집
"
