ENCODED_MCT,date,content
6A6D259BD3,2024-12-18,정말 맛있고 양도 많아요 정말 강추합니다
6A6D259BD3,2024-12-14,고기 품질이 매우좋아요
6A6D259BD3,2024-12-08,고기 입에서 녹습니다요
6A6D259BD3,2024-10-23,
6A6D259BD3,2024-09-08,👍🏻
6A6D259BD3,2024-08-15,잘먹었습니다
6A6D259BD3,2024-04-07,
6A6D259BD3,2024-02-23,주차 x
6A6D259BD3,2024-02-09,고기 질 좋아요
6A6D259BD3,2024-01-13,ㅡ
6A6D259BD3,2023-12-29,살치살 새우살 등심순으로 맛있어요 살치살은 진짜 기름이 고소해서 입에서 살살 녹았어요 또 먹고 싶어요 담에는 살치살만 시켜먹을거에요
6A6D259BD3,2023-12-08,좋아요
6A6D259BD3,2023-08-14,마장동 소고기모듬 가끔 사다 먹는데 써비스로 차돌박이도 주셔서 좋아요
6A6D259BD3,2023-05-17,친절하고 고기신선하고 맛있어요
6A6D259BD3,2023-05-07,굿
6A6D259BD3,2023-03-21,고기질이 너무 좋아요 온가족이 너무 맛있게 먹었습니다. 친절하십니다.
6A6D259BD3,2023-02-24,고기가신선하고 좋아요
6A6D259BD3,2023-01-13,굿
