ENCODED_MCT,date,content
97FAE8D665,2025-03-04,좋아요
97FAE8D665,2025-02-06,굳굳
97FAE8D665,2025-02-04,좋아요
97FAE8D665,2025-01-16,조아용
97FAE8D665,2025-01-09,좋아요
97FAE8D665,2025-01-03,굳굳
97FAE8D665,2024-12-23,좋아요
97FAE8D665,2024-12-05,좋아요!!
97FAE8D665,2024-12-05,친절해요
97FAE8D665,2024-12-03,조아요
97FAE8D665,2024-11-27,조아요!
97FAE8D665,2024-11-07,좋아요
97FAE8D665,2024-11-04,좋아요
97FAE8D665,2024-10-29,맛있어요!
97FAE8D665,2024-10-15,맛있어요
97FAE8D665,2024-09-25,"반찬이 진짜 정갈하게 잘 나오고! 제육볶음 너무 맛있습니다!! 쌈 싸먹어도 맛있지만~ 쓱쓱 비벼먹으면 더 맛있는!!!! 글구 구수한 된장찌개도 진짜 맛있습니다!!!! 진짜 푸짐하게 먹을수 있고, 가성비 짱짱!!!!"
97FAE8D665,2024-09-19,굳굳
97FAE8D665,2024-09-10,굳굳
97FAE8D665,2024-08-20,고기가 신선하고 좋아요.
97FAE8D665,2024-08-13,항정살 맛집!!이라 항정살 땡길땐 무조건 우리돈가!! 점심에 제육 땡길땐 무조건 우리돈가!! 반찬들도 정갈하게 잘 나오고~ 구수한 된장찌개는 일품임!!!! 싸장님도 세상 친절하셔서 더없이 좋은 맛집!!
97FAE8D665,2024-07-24,맛있어요
97FAE8D665,2024-07-22,조아요
97FAE8D665,2024-07-18,조아요
97FAE8D665,2024-07-17,조아요
97FAE8D665,2024-07-09,조어요
97FAE8D665,2024-07-02,조아용
97FAE8D665,2024-06-17,맛있어욥
97FAE8D665,2024-06-13,완전 든든해요
97FAE8D665,2024-06-03,👍🏻
97FAE8D665,2024-04-16,든든해요!
97FAE8D665,2024-04-09,조아용
97FAE8D665,2024-04-03,맛있어요
97FAE8D665,2024-03-26,늘 맛있어요
97FAE8D665,2024-03-25,조아용
97FAE8D665,2024-03-15,맛나요
97FAE8D665,2024-02-21,맛있어요!!
97FAE8D665,2024-02-01,든든해요
97FAE8D665,2024-01-24,맛있어요
97FAE8D665,2024-01-17,한끼 든든해요
97FAE8D665,2024-01-10,ㅈㅇㅇ
97FAE8D665,2024-01-09,맛있어요
97FAE8D665,2023-12-26,"좋아요
"
97FAE8D665,2023-12-07,든든해요
97FAE8D665,2023-12-01,찌개 맛있어요
97FAE8D665,2023-11-27,맛있어요 든든합니다!
97FAE8D665,2023-11-15,찌개 건더기 많아서 넘좋아여!
97FAE8D665,2023-11-13,차돌된장찌개 맛있어요!!!
97FAE8D665,2023-11-07,찌개가 진짜맛있어요! 재료도 알차게 들어있네요!
97FAE8D665,2023-04-07,굳굳 ㅎ
97FAE8D665,2023-03-06,굿
