ENCODED_MCT,date,content
9D837FF7F3,2024-02-02,좋아요
9D837FF7F3,2023-12-12,"족발도 맛있고 밑반찬도 맛났어요!!
"
9D837FF7F3,2023-11-25,굿
9D837FF7F3,2023-09-23,"친구 왈: 여긴 진짜 무식하다
라는 소리가 나올 정도로 양이 혜자 김치 콩나물부추무침 배추된장국까지 하나하나 다 양이 많음 족발도 평균은 하는 맛이라 극강의 가성비족발!! 작은 사이즈가 없긴한데 많이 시켜서 쟁겨먹음되니까 오히려 좋아ㅎㅎ
매운 족발 더 매웠으면 하는 바람이지만 매운걸 못먹는 사람들한테 매콤달달한 고추장족발맛~"
9D837FF7F3,2023-08-17,굿
9D837FF7F3,2023-06-16,슴슴한된장국 족발은 슴슴한데 콩나물 김치가 짭짤해서 같이먹으면 찰떡 양많늠!!
9D837FF7F3,2023-04-29,넘 맛있어요
9D837FF7F3,2023-03-01,굿
9D837FF7F3,2023-01-28,좋아요
9D837FF7F3,2023-01-14,참 맛있어요
9D837FF7F3,2023-01-07,맛있어요
