ENCODED_MCT,date,content
A2974AB3F0,2024-10-02,👍🏻
A2974AB3F0,2024-08-10,신선하네요
A2974AB3F0,2024-06-15,😄
A2974AB3F0,2024-05-23,굿
A2974AB3F0,2024-04-08,굿
A2974AB3F0,2024-04-02,굿
A2974AB3F0,2024-02-19,굿
A2974AB3F0,2024-02-17,굿
A2974AB3F0,2024-01-26,😆
A2974AB3F0,2024-01-10,👍🏻
A2974AB3F0,2024-01-02,굿
A2974AB3F0,2023-11-18,🤭
A2974AB3F0,2023-10-31,"굿
"
A2974AB3F0,2023-10-10,좋아요
A2974AB3F0,2023-10-07,등록했어요
A2974AB3F0,2023-09-28,좋아요
A2974AB3F0,2023-09-23,괜찮아요
A2974AB3F0,2023-09-18,좋아요
A2974AB3F0,2023-09-15,친절하세요
A2974AB3F0,2023-09-09,사징님 아주 친절하십니다~~. 고기도 좋아요
A2974AB3F0,2023-08-31,좋아요
A2974AB3F0,2023-07-26,고기 신선하고 가격도 적당!! 다음엔 다른고기 사러 갈게요~~
A2974AB3F0,2023-03-12,굿
A2974AB3F0,2023-03-01,굿
A2974AB3F0,2023-02-22,굿
A2974AB3F0,2023-02-10,등록했어요
A2974AB3F0,2023-01-21,등록했어요
A2974AB3F0,2023-01-21,감사합니다
