ENCODED_MCT,date,content
A6EDA7FB67,2025-05-29,지나가다 마땅히 먹을께 없어서...
A6EDA7FB67,2025-01-28,맛있어요
A6EDA7FB67,2025-01-18,동네 떡집 맛있어요~~
A6EDA7FB67,2024-12-28,친절해요
A6EDA7FB67,2024-12-23,"떡볶이떡,떡국떡 구매
엄마가 추천:)"
A6EDA7FB67,2024-11-05,떡맛있어요
A6EDA7FB67,2024-10-15,떡은 괜찮은데 자꾸 현금을 달라셔서 불편하다.
A6EDA7FB67,2024-09-21,떡 맛있어요
A6EDA7FB67,2024-09-09,떡이맛있어요
A6EDA7FB67,2024-04-26,가래떡이맛있어요
A6EDA7FB67,2024-03-04,굿
A6EDA7FB67,2024-02-09,떡국떡이 좀 두꺼워요
A6EDA7FB67,2024-02-09,굿~
A6EDA7FB67,2024-01-12,우리동네 떡집 맛나고 좋다
A6EDA7FB67,2024-01-04,굿
A6EDA7FB67,2023-12-31,새해에는 역시 떡국
A6EDA7FB67,2023-12-28,ㅎ~
A6EDA7FB67,2023-12-25,가래떡 떡국 끊였더니 맛있어요.
A6EDA7FB67,2023-12-21,ㅇㅇ
A6EDA7FB67,2023-12-09,ㅎ~
A6EDA7FB67,2023-12-08,떡국떡 사 왔어요~
A6EDA7FB67,2023-11-16,좋아요
A6EDA7FB67,2023-10-06,신선해요.
A6EDA7FB67,2023-07-30,ㄱㄴ
A6EDA7FB67,2023-06-26,맛있는 떡 샀어요~
A6EDA7FB67,2023-05-10,좋아요
A6EDA7FB67,2023-05-05,
A6EDA7FB67,2023-04-28,그냥저냥 그래요
A6EDA7FB67,2023-04-25,떡국떡 샀어요~
A6EDA7FB67,2023-04-11,그냥저냥
A6EDA7FB67,2023-03-29,굿
A6EDA7FB67,2023-03-21,굿
A6EDA7FB67,2023-03-13,ㄱㄴ
A6EDA7FB67,2023-03-06,굿
A6EDA7FB67,2023-02-16,좋아요
A6EDA7FB67,2023-02-03,그냥저냥
A6EDA7FB67,2023-01-19,그냥저냥 그래요
A6EDA7FB67,2023-01-06,그냥저냥 그래요
