ENCODED_MCT,date,content
B0733AADEF,2025-03-26,"완뚝
맛나요"
B0733AADEF,2025-03-26,맛있어요 만원의 행복! 라면사리는 맘껏 넣을 수 있습니다~
B0733AADEF,2025-02-26,요즘처럼 힘든 시기에 무한 사리 제공에 착한 가격으로 든든한 한끼를 먹을수있다는게 아주 큰 장점입니다. 물론 맛은 디폴트이고 라면과 밥 찌개 이 모든걸 한번에 먹고싶을때 방문하게되는 킹콩 부대찌개 흥했으면 좋겠습니다.
B0733AADEF,2024-12-18,"맛도맛이지만 사장님이 친절하셔서 더 가고싶어요
가성비 짱짱"
B0733AADEF,2024-11-25,올만에 부대찌개 맛나게 먹었습니다 뇸!
B0733AADEF,2024-10-15,맛나요 여기좋음
B0733AADEF,2024-07-13,굿
B0733AADEF,2024-07-05,음식이 빨리 나와서 점심때 먹기좋고 맛있음
B0733AADEF,2024-05-29,맛나고 좋아요
B0733AADEF,2024-02-06,"지나가다 들렀어요.
반찬이 조금 아쉽습니다"
B0733AADEF,2023-12-08,사장님 친절하시고 부대찌개 맛나요
B0733AADEF,2023-09-11,일부러 킹콩부대찌개 찾아갔어요. 맛도 깔끔하고 라면사리도 나오고 좋아요. 매장 앞에 한두대 주차도 되는거 같아요. 사장님이 엄청 친절하세요.
B0733AADEF,2023-07-27,"맛은 다 아는맛.
가격이 올라서 슬픔...
사장님은 친절"
B0733AADEF,2023-04-21,좋아요..
B0733AADEF,2023-03-28,굿
B0733AADEF,2023-03-11,사장님 친절하시고 음식도 맛있구요 깨끗하고 좋아요
B0733AADEF,2023-02-22,조아요
B0733AADEF,2023-02-14,맛있네용👍🏻
B0733AADEF,2023-02-08,사장님이 상당히 친절하세요!
B0733AADEF,2023-01-28,굿
B0733AADEF,2023-01-10,햄도 많이넣어주시고 라면도 무한리필?!이여거 라면먹고싶으면 찾는 부대찌개집이랄까요? ㅎㅎ 고급 라면이 땡기면 여길가요 ㅎㅎㅎ 넉넉한양 맛도 평타는 하는곳이에요^^
B0733AADEF,2023-01-07,사장님이 친절해요 맛있어요
