ENCODED_MCT,date,content
C46428C39E,2025-09-25,
C46428C39E,2025-09-18,"그냥 한번 사봤어요
괜찮음 계속 구매하려고요"
C46428C39E,2024-10-28,채소를 잘 사먹고 있습니다.
C46428C39E,2024-10-28,"싱싱한 과일과 야채
가성비 짱~~"
C46428C39E,2024-09-12,싸게 팔아서 조아요
C46428C39E,2024-04-23,친절해요.
C46428C39E,2024-03-29,굿
C46428C39E,2024-02-21,ㆍ
C46428C39E,2024-02-17,굿
C46428C39E,2024-02-15,가격이 저렴하고 사장님이 친절하세요
C46428C39E,2024-01-17,굿
C46428C39E,2023-12-08,가격이 좋아요
C46428C39E,2023-11-13,저렴하고 참 친절하세요
C46428C39E,2023-10-25,ㆍ
C46428C39E,2023-10-24,작은 크기의 귤 좋아해서 퇴근길에 구입했는데 엄청 싱싱하고 맛있어요🥰 사장님도 친절하셔요ㅋㅋ
C46428C39E,2023-10-24,좋아요
C46428C39E,2023-10-23,ㆍ
C46428C39E,2023-10-05,ㆍ
C46428C39E,2023-09-27,ㆍ
C46428C39E,2023-09-04,친절해요
C46428C39E,2023-08-12,싸서 좋앗어요
C46428C39E,2023-08-04,굿
C46428C39E,2023-08-02,친절해요
C46428C39E,2023-07-03,굿
C46428C39E,2023-06-09,가성비 짱~~
C46428C39E,2023-06-06,친절해요~~
C46428C39E,2023-04-19,ㅇ
C46428C39E,2023-04-19,ㅇ
C46428C39E,2023-04-12,굿
C46428C39E,2023-04-07,굿
C46428C39E,2023-04-07,신선해서 좋아여
C46428C39E,2023-04-05,굿
C46428C39E,2023-03-21,굿
C46428C39E,2023-03-20,등록했어요
C46428C39E,2023-03-18,굿
C46428C39E,2023-03-16,가성비가 좋아요
C46428C39E,2023-03-16,굿
C46428C39E,2023-03-13,등록했어요
C46428C39E,2023-03-10,굿
C46428C39E,2023-03-06,등록했어요
C46428C39E,2023-03-04,소량 구매하기 좋아요~~
C46428C39E,2023-02-28,굿
C46428C39E,2023-02-20,등록했어요
C46428C39E,2023-02-18,신선한 과일이 많아요
C46428C39E,2023-02-15,굿
C46428C39E,2023-02-08,등록했어요
C46428C39E,2023-02-06,
C46428C39E,2023-02-06,등록했어요
C46428C39E,2023-01-16,굿
C46428C39E,2023-01-16,친절해요
C46428C39E,2023-01-16,등록했어요
C46428C39E,2023-01-14,굿
C46428C39E,2023-01-06,등록했어요
C46428C39E,2023-01-05,등록했어요
