ENCODED_MCT,date,content
CF932F2737,2025-04-09,.
CF932F2737,2024-11-09,친절해요
CF932F2737,2024-11-06,친절해요
CF932F2737,2024-07-04,"조금 짭쪼롬 하지만 음식이 다 맛있어요!
한식뷔페같은 곳이라서 사람도 많이 온답니다 ㅎㅎ
반찬 국 밥 모두 엄마가 해준것 같은 맛이에요~"
CF932F2737,2023-11-15,굿
CF932F2737,2023-08-06,제육볶음 짱!
CF932F2737,2023-07-18,굿
CF932F2737,2023-07-03,제육볶음 존맛♥
CF932F2737,2023-07-01,"점심 한식뷔페 입니다. 원하는대로 갖다 먹으면되고 기본 국, 제육도 나옵니다. 제가 간날은 비빔밥 가능하게 만들어주고, 간장순두부에 나물 2가지, 우엉, 오이무침, 김치가 있었습니다. 우마이데쓰~ 단점은 현금8,카드9? 정도 ^^"
CF932F2737,2023-05-22,굿
CF932F2737,2023-05-09,좋아요~^^
CF932F2737,2023-04-28,좋아요~^^
CF932F2737,2023-04-23,좋아요~^^
CF932F2737,2023-04-19,좋아요~^^
CF932F2737,2023-03-17,생선구이가 생각보다맛났어요!!
CF932F2737,2023-01-05,좋아요~^^
CF932F2737,2023-01-01,굿
