ENCODED_MCT,date,content
D1EB295A18,2025-08-06,맛딥이에요
D1EB295A18,2025-07-30,중복때 삼계탕 맛있게 잘 먹었습니다
D1EB295A18,2025-03-13,"왠지 전주라는 이름들어가면 맛있을듯한 느낌적인 느낌이 듭니다
한끼 잘 먹었습니다"
D1EB295A18,2025-03-04,사장님 손이 크셔서 1인 제육볶음인데 지방 거의 없이 고기~ 가득! 밑반찬 가득 주세요 ㅎㅎ 이 가격이 맞나 남는 게 있을까 싶을 정도로 매번 배불리 먹어요 혼자 오든 단체로 오든 한결같이 손 크시고 잘 챙겨주세요
D1EB295A18,2024-10-15,"전주식당 플레이스 닭도리탕, 제육볶음, 오징어볶음 등 한식 대가 사장님의 손맛으로 유명해요
성수역 뚝도청춘시장 맛집거리에 있어요
닭도리탕 부추많이들고 포실포실 감자 양파 듬뿍 보양식 제대로 먹고 가요"
D1EB295A18,2024-10-09,푸짐한 집밥집 먹는 기분~ 제육도 맛있고 친절해서 좋았어요
D1EB295A18,2024-10-09,"부모님이랑 저녁 먹으러 방문했는데 양도 정말 많고 가성비가 좋아요. 기본 반찬은 김치, 계란찜 제외 항상 바껴서 나오고 사장님이 다 만드시는 거래요. 집밥 느낌이라서 부모님도 맛나게 드셨습니다. 여기 닭도리탕 감자가 진짜 맛있어요 포슬포슬 🥔 양념도 칼칼하고 밥도 꼬들해서 맛있는 한끼 하고 왔습니다. 성수밥집으로 강추!👍"
D1EB295A18,2024-09-23,👍
D1EB295A18,2024-09-09,맛있어요 ㅎㅎ
D1EB295A18,2024-04-24,"집에 밥이 없던차 오징어 볶음 생각나서
가까운 집근처 식당에 갔음"
D1EB295A18,2024-02-24,집밥느낌 맛있어요
D1EB295A18,2024-01-07,순두부찌개랑 제육 맛있었어요!!
D1EB295A18,2023-08-16,"반찬도 많이 나오고 고등어구이
맛있어요! 순두부찌개는 들은게 없어 좀 아쉽지만
다른건 맛있어서 좋었어요!"
D1EB295A18,2023-08-09,저렴
D1EB295A18,2023-02-01,편한 분위기
