ENCODED_MCT,date,content
EBCBFD170F,2025-01-24,굿
EBCBFD170F,2024-09-25,오이씨
EBCBFD170F,2024-09-23,오이씨
EBCBFD170F,2024-09-20,맛나요^^
EBCBFD170F,2024-09-19,오이씨
EBCBFD170F,2024-09-13,오이씨
EBCBFD170F,2024-09-04,굿
EBCBFD170F,2024-09-03,굿
EBCBFD170F,2024-09-02,오이씨
EBCBFD170F,2024-08-19,종류다양하고 맛있어요
EBCBFD170F,2024-08-09,좋아요
EBCBFD170F,2024-08-06,굿
EBCBFD170F,2024-08-05,오이씨
EBCBFD170F,2024-08-02,오이씨
EBCBFD170F,2024-08-01,굿
EBCBFD170F,2024-07-31,오이씨
EBCBFD170F,2024-07-24,좋아요
EBCBFD170F,2024-07-22,오이씨
EBCBFD170F,2024-07-19,좋아요
EBCBFD170F,2024-07-19,오이씨
EBCBFD170F,2024-07-18,굿
EBCBFD170F,2024-07-17,오이씨
EBCBFD170F,2024-07-15,오이씨
EBCBFD170F,2024-07-12,오이씨
EBCBFD170F,2024-07-11,오이씨
EBCBFD170F,2024-07-10,오이씨
EBCBFD170F,2024-07-09,오이씨
EBCBFD170F,2024-07-08,오이씨
EBCBFD170F,2024-07-05,좋아요
EBCBFD170F,2024-07-04,오이씨
EBCBFD170F,2024-07-03,오이씨
EBCBFD170F,2024-07-02,오이씨
EBCBFD170F,2024-07-01,오이씨!
EBCBFD170F,2024-06-28,오이씨
EBCBFD170F,2024-06-27,오이씨
EBCBFD170F,2024-06-25,굿
EBCBFD170F,2024-06-24,최고!
EBCBFD170F,2024-06-21,오이씨
EBCBFD170F,2024-06-20,좋아요
EBCBFD170F,2024-06-19,굿
EBCBFD170F,2024-06-18,맛나요
EBCBFD170F,2024-06-17,오이씨
EBCBFD170F,2024-06-11,오이씨
EBCBFD170F,2024-06-10,오이씨
EBCBFD170F,2024-04-03,친절하세용
EBCBFD170F,2024-04-01,좋아요!
EBCBFD170F,2024-03-25,오이씨^^
EBCBFD170F,2024-03-22,오이씨
EBCBFD170F,2024-02-29,ㅎ
EBCBFD170F,2023-12-12,굿
EBCBFD170F,2023-11-23,맛
EBCBFD170F,2023-11-21,첫방문했는데 맛이 괜찮아요.
EBCBFD170F,2023-09-08,좋아요
EBCBFD170F,2023-08-28,성수 가서 먹은 밥집~~ 비싼곳보다 더 마싯고 조아요
EBCBFD170F,2023-05-15,메뉴가 다양해요
EBCBFD170F,2023-04-17,"한식부페인데 가격이 비싸네요
카드결제 7500원 보통 6000원 비싼곳이 7000원인데..."
EBCBFD170F,2023-03-20,ㅎ
EBCBFD170F,2023-03-20,ㅎ
EBCBFD170F,2023-02-24,맛있어요
EBCBFD170F,2023-02-22,굿
EBCBFD170F,2023-01-09,굿
