ENCODED_MCT,date,content
EC05B1ACA4,2025-05-10,좋아요
EC05B1ACA4,2025-05-07,굿
EC05B1ACA4,2025-01-27,가성비 굿
EC05B1ACA4,2025-01-02,맛있어요
EC05B1ACA4,2024-12-20,도우 가장자리 파트가 크죠. 돈 없으면 이거라도 감사하게 먹어야져
EC05B1ACA4,2024-10-18,좋아요
EC05B1ACA4,2024-09-16,좋아요
EC05B1ACA4,2024-08-18,
EC05B1ACA4,2024-08-11,좋아요
EC05B1ACA4,2024-06-05,아늑하고 착한가격 굿
EC05B1ACA4,2024-05-24,피자가 맛있어요
EC05B1ACA4,2024-05-19,👍👍👍👍👍👍👍👍
EC05B1ACA4,2024-05-17,머쉬룸피자 담백하고 맛나요
EC05B1ACA4,2024-05-13,좋아요
EC05B1ACA4,2024-04-20,친절하고 좋아요~~
EC05B1ACA4,2024-02-28,치즈피자~~~
EC05B1ACA4,2024-01-28,오지치즈포테이토 피자 최애 등극^^
EC05B1ACA4,2023-12-17,신금호.피자맛집.기성비최고.맥시칸바이트피자.찐맛~~있어요.
EC05B1ACA4,2023-12-09,얇긴한데 맛은잇어요
EC05B1ACA4,2023-11-18,"가성비 좋은 피자~
느끼하지 않고 담백해서 아이들도 좋아해요^^"
EC05B1ACA4,2023-11-12,고구마피자는 원래 피자 전체에 작게 갈은 고구마랑 소스가 많이 뿌려져야 되는데 여긴 그냥 몇 덩이 올리고 말았네요. 치즈바이트는 만드는 사람마다 다를 수 있으니 그러려니 하는데 피자는 다른 지점과 차이가 많이 납니다.
EC05B1ACA4,2023-11-05,좋아요
EC05B1ACA4,2023-10-11,좋아요
EC05B1ACA4,2023-08-01,"도우가 얇아서, 토핑이 잘 느껴져서 좋았어요~ 주문하고 바로 만들어져서 맛있어요! 핫소스 별도구매까지 포함, 만원입니다 ㅎ 테이블도 여러 개라 매장에서 식사도 되서 바로 먹어서 너무 좋았어요!"
EC05B1ACA4,2023-07-22,"피자 생각날때 가볍게 갈 수 있는곳..
이제 가격이 예전같지는 않네요."
EC05B1ACA4,2023-07-09,굿
EC05B1ACA4,2023-07-08,좋아요 : )
EC05B1ACA4,2023-07-08,😁😁😁😁😁😁😁
EC05B1ACA4,2023-06-11,굿
EC05B1ACA4,2023-05-27,피자스쿨 배달만 시키다가 매장식사를 하게 되었는데 음식도 맛있고 좋았습니다!
EC05B1ACA4,2023-05-14,깔끔하고 맛나요! 풍부한 치즈 오븐스파걱티두맛있어요! ^-^
EC05B1ACA4,2023-04-30,까르보네 피자는 진리입니다
EC05B1ACA4,2023-04-22,새로나온 더블갈릭바베큐피자 맛있어요
EC05B1ACA4,2023-04-06,굿
EC05B1ACA4,2023-02-28,"아이들이 너무나 좋아하는 피자에요..
가성비 짱입니다!"
EC05B1ACA4,2023-02-05,도우가 얇아 아이들이 정말 좋아하는 피자에요!
EC05B1ACA4,2023-01-27,맛있어요
EC05B1ACA4,2023-01-23,남자사장님이 친절해요 피자맛있어요
EC05B1ACA4,2023-01-10,굿굿굿^-^/
EC05B1ACA4,2023-01-04,맛있고 가성비 대박! 고구마피자에 치즈크러스트!!
