ENCODED_MCT,date,content
F1D42A1E4A,2024-11-12,커피맛 좋아요~
F1D42A1E4A,2024-01-13,커피 주문 후 손님이 커피를 가져가건 말건 20분동안 신경 안쓰는 곳. 맛도 별로 !!
F1D42A1E4A,2023-12-29,"가성비가 좋아요
고구마라떼가 진짜 맛있었는데 이제 갈수가없네요ㅠㅠ"
F1D42A1E4A,2023-12-28,가성비가 엄청 좋아요!!!
F1D42A1E4A,2023-12-27,"출근할때마다 사먹었어요
고구마라떼 꼭 드세요ㅠㅠㅠㅠ"
F1D42A1E4A,2023-12-26,고구마라떼ㅠㅠㅠ♡♡♡♡
F1D42A1E4A,2023-12-19,가성비 짱!!
F1D42A1E4A,2023-11-03,
F1D42A1E4A,2023-10-07,음료 맛있어요
F1D42A1E4A,2023-10-04,굿
F1D42A1E4A,2023-04-13,"엄청 시크하심 ㅋㅋㅋ
카푸치노에 시나몬 뿌려주심~👍
선물용 솔티드 카라멜이랑 다크 초코 뚱카롱 삼~"
F1D42A1E4A,2023-02-16,좋아요
F1D42A1E4A,2023-02-02,굿
