,rule,type,coef,support,importance,category
0,mean_all_M12_FME_1020_RAT,general,0.14410699658302306,1.0,0.04620495712436594,
1,mean_all_M12_FME_30_RAT,general,0.032676991991800734,1.0,0.010476661957731663,
2,mean_all_M12_FME_40_RAT,general,0.067137353470156,1.0,0.02152614713463501,
3,mean_all_M12_FME_50_RAT,general,0.39455794638802694,1.0,0.1265049459515673,
4,mean_all_M12_FME_60_RAT,general,0.029463521477727236,1.0,0.00944681424928071,
5,mean_all_M12_MAL_1020_RAT,general,0.1860259928876033,1.0,0.059645863136657734,
6,mean_all_M12_MAL_30_RAT,general,0.5021118425887604,1.0,0.16098968922045048,
7,mean_all_M12_MAL_40_RAT,general,0.16661264173044138,1.0,0.053421037817837094,
8,mean_all_M12_MAL_50_RAT,general,0.1715794032070355,1.0,0.0550132429682122,
9,mean_all_M12_MAL_60_RAT,general,0.06808997667895608,1.0,0.021831667917052093,
10,mean_all_M12_SME_BZN_SAA_PCE_RT,general,-0.2617497392116105,1.0,0.2203312906194065,
11,mean_all_M12_SME_RY_SAA_PCE_RT,general,-0.08240511734489296,1.0,0.06719170262220436,
12,mean_all_M1_SME_RY_CNT_RAT,general,-0.7190832791043266,1.0,0.4507378053803211,
13,mean_all_M1_SME_RY_SAA_RAT,general,-0.24482696977671742,1.0,0.16843137455445722,
14,mean_all_MCT_UE_CLN_NEW_RAT,general,1.692533237515223,1.0,0.45790197726649184,
15,mean_all_MCT_UE_CLN_REU_RAT,general,1.225158489687029,1.0,0.331447677482094,
16,mean_all_RC_M1_AV_NP_AT,general,0.26793245632279733,1.0,0.20485609850263492,
17,mean_all_RC_M1_SAA,general,-0.025839327814347408,1.0,0.021180666620317742,
18,mean_all_RC_M1_SHC_FLP_UE_CLN_RAT,general,0.11355327223342211,1.0,0.0750641558703123,
19,mean_all_RC_M1_SHC_RSD_UE_CLN_RAT,general,0.17835647035471264,1.0,0.11790375510028446,
20,mean_all_RC_M1_SHC_WP_UE_CLN_RAT,general,0.06900895616712607,1.0,0.04561854721899317,
21,mean_all_RC_M1_TO_UE_CT,general,1.1624420048325228,1.0,0.9741616188740524,
22,mean_all_RC_M1_UE_CUS_CN,general,-1.2296267790960471,1.0,1.031822617273807,
23,slope_all_M12_FME_1020_RAT,general,-10.469414438843817,1.0,0.18040224576030947,
24,slope_all_M12_FME_30_RAT,general,-3.278585244637305,1.0,0.05649410070991619,
25,slope_all_M12_FME_40_RAT,general,-2.059313378378011,1.0,0.03548440969854914,
26,slope_all_M12_FME_50_RAT,general,-1.548499604843993,1.0,0.0266832003998221,
27,slope_all_M12_FME_60_RAT,general,-4.934537173635263,1.0,0.085032413253337,
28,slope_all_M12_MAL_1020_RAT,general,-1.8202841383139006,1.0,0.03136602790853173,
29,slope_all_M12_MAL_30_RAT,general,-3.8856390435748285,1.0,0.06695476069401682,
30,slope_all_M12_MAL_40_RAT,general,-2.7673913428828296,1.0,0.047684970930526115,
31,slope_all_M12_MAL_50_RAT,general,-1.8627917524691766,1.0,0.03209750066415327,
32,slope_all_M12_MAL_60_RAT,general,-3.678650243919106,1.0,0.06338690923878597,
33,slope_all_M12_SME_BZN_SAA_PCE_RT,general,4.577234815123252,1.0,0.1416925695946387,
34,slope_all_M12_SME_RY_SAA_PCE_RT,general,-7.194490101139699,1.0,0.2681290832270872,
