rule,type,coef,support,importance,category
mean_all_MCT_UE_CLN_NEW_RAT > 0.13925,general,0.4573607351426544,0.6449650822257265,0.21885804367372633,
slope_all_RC_M1_TO_UE_CT <= 0.01393,general,-0.46474298446721574,0.7652624464969587,0.1969741932857644,
slope_all_M1_SME_RY_SAA_RAT > -0.0597,general,0.03598538258281546,0.9867087181797702,0.004121013529598835,
slope_all_MCT_UE_CLN_REU_RAT > -0.00056,general,-0.027968896917031222,0.9110159945933769,0.007963322689372892,
slope_all_M12_MAL_40_RAT > -0.00033,general,-0.11349402836259694,0.9069610272583916,0.032968544724931374,
mean_all_M12_MAL_50_RAT > 0.15399,general,-0.31058410008600174,0.4944807389051588,0.15528258866643832,
slope_all_M12_SME_BZN_SAA_PCE_RT <= 0.03103,general,0.10437165058670095,0.8747465645415634,0.034547648932189326,
slope_all_RC_M1_SHC_RSD_UE_CLN_RAT > 0.00178,general,-0.10044266935364049,0.84275737778779,0.036564081335437947,
slope_all_RC_M1_TO_UE_CT <= 0.01539,general,0.14830769140883793,0.7794548321694075,0.0614904859045048,
slope_all_MCT_UE_CLN_NEW_RAT > -0.00054,general,1.1285195793165161,0.24510024780355935,0.48542888478866253,
slope_all_MCT_UE_CLN_REU_RAT > -0.00055,general,-0.20488637682139837,0.8979499887362018,0.06202198843609336,
slope_all_M1_SME_RY_SAA_RAT > -0.10201,general,-0.020148550664789405,0.9961703086280694,0.001244493109941042,
slope_all_M1_SME_RY_CNT_RAT > -0.00559,general,-0.20905139132995332,0.68123451227754,0.09741751131565257,
mean_all_M12_FME_50_RAT > 0.154,general,-0.137090713443611,0.5359315161072313,0.06836813338203958,
slope_all_M12_FME_1020_RAT > -0.00033,general,-0.3486729444874315,0.9089885109258842,0.10028721161724341,
slope_all_M12_SME_BZN_SAA_PCE_RT <= 0.05717,general,0.2611944703974497,0.936246902455508,0.06381309673619469,
slope_all_M12_SME_BZN_SAA_PCE_RT > -0.11584,general,0.03961121040702725,0.9972966884433431,0.002056735065259032,
slope_all_RC_M1_UE_CUS_CN > -0.10098,general,-0.0974924080989308,0.9880603739580986,0.010589071998061571,
slope_all_M1_SME_RY_CNT_RAT <= 0.11504,general,-0.004390237952042007,0.9891867537733724,0.000454051643465937,
slope_all_M12_SME_BZN_SAA_PCE_RT > -0.11478,general,0.01397383643118834,0.9972966884433431,0.000725564280639111,
mean_all_M12_FME_50_RAT <= 0.15408,general,-0.10351687723651146,0.9538184275737779,0.021725929935280313,
slope_all_MCT_UE_CLN_NEW_RAT > -0.00055,general,0.14335205848435426,0.8959225050687092,0.04377413489259318,
slope_all_M12_FME_30_RAT > -0.00033,general,0.2229346430504426,0.9076368551475558,0.06454802791985995,
mean_all_M12_FME_30_RAT <= 0.15416,general,-0.2379890342396797,0.9936922730344673,0.018841667962915355,
mean_all_RC_M1_SHC_RSD_UE_CLN_RAT > -3.16459,general,0.018689756306798935,0.9936922730344673,0.0014796739848352042,
slope_all_M12_SME_BZN_SAA_PCE_RT > -0.06603,general,-0.12831872205296918,0.9767965758053616,0.01931826547148993,
slope_all_M1_SME_RY_CNT_RAT > -0.05088,general,-0.016236217287554335,0.9833295787339491,0.0020787759977144212,
slope_all_RC_M1_UE_CUS_CN <= 0.025,general,0.04426462789032296,0.8614552827213336,0.015292136725462244,
slope_all_M1_SME_RY_CNT_RAT > -0.04916,general,-0.08921577123131241,0.980851543140347,0.012226725563535983,
slope_all_MCT_UE_CLN_NEW_RAT > -0.00056,general,-0.29257860399043056,0.9125929263347601,0.08263316793190618,
