,rule,type,coef,support,importance,category
0,mean_all_M12_FME_1020_RAT,general,0.006999458200271391,1.0,0.002244232922105264,
1,mean_all_M12_FME_30_RAT,general,0.06738113476859256,1.0,0.021603254408362763,
2,mean_all_M12_FME_40_RAT,general,0.0018147093762838301,1.0,0.0005818474965333883,
3,mean_all_M12_FME_60_RAT,general,8.858377525874858e-05,1.0,2.8402391445368334e-05,
4,mean_all_M12_MAL_1020_RAT,general,0.010330769398942601,1.0,0.003312373975813166,
5,mean_all_M12_MAL_30_RAT,general,0.19020429193464333,1.0,0.060984281288966165,
6,mean_all_M12_MAL_40_RAT,general,0.03587053785945673,1.0,0.011501176259100652,
7,mean_all_M12_MAL_50_RAT,general,0.06398386669596096,1.0,0.02051504981832381,
8,mean_all_M12_SME_BZN_SAA_PCE_RT,general,-0.16109233111218832,1.0,0.13560159154215054,
9,mean_all_M1_SME_RY_CNT_RAT,general,-0.30106826568972284,1.0,0.18871645787073985,
10,mean_all_M1_SME_RY_SAA_RAT,general,-0.08979380834705843,1.0,0.0617746263010474,
11,mean_all_MCT_UE_CLN_NEW_RAT,general,0.8533803116101523,1.0,0.23087554405741412,
12,mean_all_MCT_UE_CLN_REU_RAT,general,0.9535323975459101,1.0,0.2579634400209395,
13,mean_all_RC_M1_AV_NP_AT,general,0.040866083314219974,1.0,0.03124543589727998,
14,mean_all_RC_M1_SHC_FLP_UE_CLN_RAT,general,0.022602318828886057,1.0,0.014941216137870403,
15,mean_all_RC_M1_SHC_RSD_UE_CLN_RAT,general,0.024350747697246253,1.0,0.016097227015622412,
16,mean_all_RC_M1_SHC_WP_UE_CLN_RAT,general,0.019414287732402582,1.0,0.012833864629090369,
17,mean_all_RC_M1_UE_CUS_CN,general,-0.038580287560165676,1.0,0.032374061757804974,
18,slope_all_M12_SME_BZN_SAA_PCE_RT,general,3.423976519975904,1.0,0.10599238425438541,
19,slope_all_M12_SME_RY_SAA_PCE_RT,general,-6.1540613096077825,1.0,0.22935368509396212,
20,slope_all_M1_SME_RY_SAA_RAT,general,1.0680120171803542,1.0,0.02446055765866099,
21,slope_all_MCT_UE_CLN_NEW_RAT,general,10.352099257246467,1.0,0.1844156923541187,
22,slope_all_MCT_UE_CLN_REU_RAT,general,16.211427068431583,1.0,0.28883939076269677,
23,slope_all_RC_M1_AV_NP_AT,general,3.3310240853516233,1.0,0.09523837734460343,
24,slope_all_RC_M1_SHC_FLP_UE_CLN_RAT,general,1.3798791802523105,1.0,0.0426094824929474,
25,slope_all_RC_M1_SHC_RSD_UE_CLN_RAT,general,0.031337059910371515,1.0,0.0009676497791559276,
26,slope_all_RC_M1_SHC_WP_UE_CLN_RAT,general,0.3274465798102974,1.0,0.01011125376130149,
27,slope_all_RC_M1_UE_CUS_CN,general,-3.8520400271209603,1.0,0.10853237215981115,
28,slope_all_M1_SME_RY_CNT_RAT > -0.00896,general,-0.07443012657098554,0.7440860215053764,0.03247935041011383,
29,slope_all_MCT_UE_CLN_NEW_RAT > -0.00405,general,0.030927722999026668,0.9309438470728794,0.007841711856905274,
30,slope_all_RC_M1_TO_UE_CT <= 0.01479,general,-0.21048142691155466,0.7873357228195937,0.08612733906656596,
31,slope_all_M12_SME_BZN_SAA_PCE_RT <= 0.05732,general,-0.00889590115173819,0.9405017921146953,0.00210436807528751,
32,slope_all_M1_SME_RY_SAA_RAT > -0.0587,general,-0.01558731162223161,0.9878136200716846,0.001710196761861202,
33,slope_all_RC_M1_SAA <= 0.08445,general,0.014806365802194646,0.978494623655914,0.002147836508630339,
34,mean_all_M12_FME_1020_RAT <= 0.15417,general,-0.05078680908935747,0.9627240143369176,0.009620915443215377,
35,mean_all_RC_M1_SAA <= 1.74483,general,-0.007692122335388107,0.9949820788530466,0.0005435202485039866,
36,slope_all_RC_M1_TO_UE_CT <= 0.01618,general,0.05337258529423375,0.7966547192353644,0.021481784493205303,
37,mean_all_M12_SME_BZN_SAA_PCE_RT <= 2.79432,general,-0.04096960961851432,0.9997610513739545,0.0006332310490684167,
38,mean_all_M12_SME_BZN_SAA_PCE_RT <= 2.23877,general,-0.06630629420764995,0.98805256869773,0.007204138492108566,
39,mean_all_M12_MAL_1020_RAT <= 0.1542,general,-0.07977964426575387,0.9818399044205496,0.010652989523412352,
40,slope_all_RC_M1_TO_UE_CT <= 0.01424,general,-0.3149854157836531,0.780884109916368,0.1302928774387433,
41,slope_all_RC_M1_UE_CUS_CN > -0.10824,general,-0.03709426610395839,0.9949820788530466,0.0026210561730333195,
42,slope_all_M1_SME_RY_SAA_RAT > -0.08176,general,-0.08658347472424559,0.9933094384707288,0.007058437544987802,
43,mean_all_RC_M1_AV_NP_AT > -1.73281,general,-0.25468895342292874,0.9806451612903225,0.03508817916934931,
44,slope_all_RC_M1_SHC_WP_UE_CLN_RAT <= 0.16031,general,-0.05268107374772475,0.9949820788530466,0.0037224096349964654,
45,slope_all_M1_SME_RY_CNT_RAT <= 0.18368,general,-0.015311776790136246,0.996415770609319,0.0009150478062365568,
46,mean_all_M12_MAL_40_RAT <= 0.15419,general,-0.5598030070328665,0.9966547192353644,0.0323239091470037,
47,slope_all_RC_M1_AV_NP_AT <= 0.07794,general,-0.6587381161764475,0.9739545997610514,0.10491743579667291,
48,slope_all_M1_SME_RY_SAA_RAT > -0.10202,general,-0.025467702955398845,0.9966547192353644,0.0014705453635851197,
49,mean_all_M12_SME_RY_SAA_PCE_RT <= 2.50548,general,-0.032508974249448014,0.9995221027479092,0.0007105043386767607,
50,mean_all_RC_M1_UE_CUS_CN > -1.21967,general,-0.07128094323990047,0.9096774193548387,0.020432208606580606,
51,mean_all_M12_FME_50_RAT > -3.05985,general,-0.06169296535745597,0.9887694145758662,0.006501062712963903,
52,mean_all_M12_MAL_40_RAT > -5.11278,general,-0.03146477941981177,0.9968936678614098,0.0017509472207232811,
53,slope_all_M12_SME_BZN_SAA_PCE_RT > -0.06902,general,-0.031314066030493914,0.9859020310633214,0.003691769846966022,
54,slope_all_M12_FME_1020_RAT > -0.00033,general,-0.059486490087457884,0.921146953405018,0.016032160189649862,
55,slope_all_M1_SME_RY_SAA_RAT > -0.10201,general,-0.04297850918738595,0.9966547192353644,0.002481646952220041,
56,slope_all_M1_SME_RY_SAA_RAT > -0.04543,general,-0.026624776555670998,0.9682198327359618,0.0046703674216122355,
57,mean_all_RC_M1_SAA <= 1.72939,general,-0.034482207521130924,0.9904420549581839,0.0033549948818681857,
58,slope_all_M1_SME_RY_CNT_RAT <= 0.18078,general,-0.01401769781035332,0.9961768219832736,0.0008650817894214259,
59,slope_all_M12_FME_60_RAT > -0.37244,general,-0.060909510680465156,0.9937873357228196,0.004785978931137087,
60,slope_all_MCT_UE_CLN_NEW_RAT > -0.00129,general,-1.5010125723567296,0.9299880525686978,0.383009100817319,
